trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.0045, 'e': 0.596008708766031}",25,1,-94.6203085149355,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 1}",1
116,False,"{'a': 0.0045, 'e': 0.5933326951230521}",25,3,-15.577333951764805,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
117,False,"{'a': 0.0045, 'e': 0.5906686964874246}",25,4,-67.92906955137103,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
118,False,"{'a': 0.0045, 'e': 0.5880166589130854}",25,0,-73.54036036744681,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
119,False,"{'a': 0.0045, 'e': 0.5853765286961827}",25,0,-85.995879412057,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
120,False,"{'a': 0.0045, 'e': 0.5827482523739898}",20,12,-66.23919883965247,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 1}",1
121,False,"{'a': 0.0045, 'e': 0.5801317767238208}",25,0,-106.13196424476132,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
122,False,"{'a': 0.0045, 'e': 0.5775270487619547}",20,2,-9.82678628745811,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.0045, 'e': 0.5749340157425613}",20,8,-70.53148206739391,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
124,False,"{'a': 0.0045, 'e': 0.5723526251566333}",25,0,-93.29642608219325,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
125,False,"{'a': 0.0045, 'e': 0.569782824730923}",20,0,-26.84439650915005,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
126,False,"{'a': 0.0045, 'e': 0.5672245624268841}",25,0,-125.10089787650458,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
127,False,"{'a': 0.0045, 'e': 0.5646777864396175}",25,0,-99.3455476199855,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
128,False,"{'a': 0.0045, 'e': 0.5621424451968224}",20,1,-48.38905097175226,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
129,False,"{'a': 0.0045, 'e': 0.5596184873577521}",20,2,4.2470682356746625,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.0045, 'e': 0.5571058618121739}",20,5,14.473854222438694,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.0045, 'e': 0.5546045176793348}",25,0,-45.340818097409695,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.0045, 'e': 0.5521144043069306}",25,8,-50.24456251603588,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
133,False,"{'a': 0.0045, 'e': 0.5496354712700805}",25,0,-61.07385043072259,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
134,False,"{'a': 0.0045, 'e': 0.5471676683703055}",30,15,-28.786599401843922,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.0045, 'e': 0.5447109456345129}",20,12,-6.5035828534213245,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.0045, 'e': 0.5422652533139832}",25,4,18.149054381078898,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.0045, 'e': 0.5398305418833633}",30,11,13.880675832984513,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.0045, 'e': 0.5374067620396636}",30,8,-12.480156683905403,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 0}",1
139,False,"{'a': 0.0045, 'e': 0.5349938647012594}",25,0,-141.74456370450804,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
140,False,"{'a': 0.0045, 'e': 0.5325918010068972}",25,11,-33.75063861071693,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.0045, 'e': 0.530200522314705}",25,11,-8.432438445786538,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
142,False,"{'a': 0.0045, 'e': 0.5278199802012077}",25,12,-10.849035458061607,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
143,False,"{'a': 0.0045, 'e': 0.5254501264603461}",25,0,-7.814699565260957,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",1
144,False,"{'a': 0.0045, 'e': 0.5230909131025009}",20,5,-17.67739984648815,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
145,False,"{'a': 0.0045, 'e': 0.520742292353521}",25,9,-25.21823856400958,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
146,False,"{'a': 0.0045, 'e': 0.518404216653756}",20,0,-42.44172425921766,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.0045, 'e': 0.5160766386570931}",25,17,7.218831476012906,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.0045, 'e': 0.5137595112299984}",20,0,-40.76892983516785,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
149,False,"{'a': 0.0045, 'e': 0.5114527874505622}",25,16,-37.211506119398884,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
150,False,"{'a': 0.0045, 'e': 0.5091564206075492}",25,7,-23.6376519264644,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
151,False,"{'a': 0.0045, 'e': 0.5068703641994523}",25,15,-6.468451089657198,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.0045, 'e': 0.5045945719335512}",25,0,-91.03086829162619,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
153,False,"{'a': 0.0045, 'e': 0.5023289977249746}",20,0,-9.332346741566113,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
154,False,"{'a': 0.0045, 'e': 0.5000735956957677}",20,0,-28.404992611657025,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
155,False,"{'a': 0.0045, 'e': 0.497828320173962}",20,0,-42.057058183518905,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
156,False,"{'a': 0.0045, 'e': 0.49559312569265146}",20,9,-59.67409182577211,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
157,False,"{'a': 0.0045, 'e': 0.4933679669890717}",30,4,-53.170568251214135,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 1}",1
158,False,"{'a': 0.0045, 'e': 0.49115279900368264}",20,5,5.338343147417465,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.0045, 'e': 0.48894757687925716}",25,0,-103.80885273432041,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
160,False,"{'a': 0.0045, 'e': 0.4867522559599717}",20,9,-1.812722304120923,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.0045, 'e': 0.48456679179050266}",20,0,-14.813439669927655,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
162,False,"{'a': 0.0045, 'e': 0.4823911401151259}",25,13,-12.959714642278911,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.0045, 'e': 0.4802252568768208}",20,0,-15.877050849345977,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
164,False,"{'a': 0.0045, 'e': 0.4780690982163776}",25,15,17.99951977406017,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.0045, 'e': 0.47592262047150985}",30,8,-13.577773881165752,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.0045, 'e': 0.4737857801759698}",20,0,-28.759833386665186,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
167,False,"{'a': 0.0045, 'e': 0.4716585340586685}",20,0,-85.75242227509976,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
168,False,"{'a': 0.0045, 'e': 0.4695408390427993}",20,0,0.9093326773609811,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.0045, 'e': 0.46743265224496583}",25,14,-14.983081338929656,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
170,False,"{'a': 0.0045, 'e': 0.4653339309743134}",20,1,-3.2268195291731407,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.0045, 'e': 0.46324463273166455}",25,0,-61.52501848448087,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
172,False,"{'a': 0.0045, 'e': 0.4611647152086585}",20,10,2.8705263015408926,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.0045, 'e': 0.4590941362868942}",25,18,0.7674104309042913,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.0045, 'e': 0.45703285403707794}",20,6,-42.00519999889266,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
175,False,"{'a': 0.0045, 'e': 0.4549808267181735}",20,3,-8.196522316689032,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.0045, 'e': 0.45293801277655776}",20,0,10.039785220939304,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
177,False,"{'a': 0.0045, 'e': 0.4509043708451784}",25,0,-29.712587558615343,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
178,False,"{'a': 0.0045, 'e': 0.448879859742717}",30,7,-22.825845977273094,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 0.0045, 'e': 0.4468644384727544}",20,0,-36.58179767262904,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
180,False,"{'a': 0.0045, 'e': 0.44485806622294116}",25,0,-11.368206157416076,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
